portal.uea.ac.uk,"[['portal', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/getting-started/handbooks,"[['handbooks', 'uea']]"
portal.uea.ac.uk/multifaith,"[['multifaith', 'centre', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/the-basics/useful-links,"[['useful', 'links', 'uea']]"
portal.uea.ac.uk/staff-home,"[['staff', 'home', 'uea']]"
portal.uea.ac.uk/student-support-service/international-students,"[['international', 'students', 'uea']]"
portal.uea.ac.uk/student-support-service/counselling-and-mental-health,"[['mental', 'health', 'uea']]"
portal.uea.ac.uk/c/portal/uealogin,"[['sign', 'in']]"
portal.uea.ac.uk/student-support-service/learning-enhancement,"[['learning', 'enhancement', 'uea']]"
portal.uea.ac.uk/student-support-service/student-conduct-and-harassment,"[['student', 'conduct', 'and', 'harassment', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/the-basics/university-communication,"[['university', 'communication', 'uea']]"
portal.uea.ac.uk/estates/grounds,"[['university', 'grounds', 'uea']]"
portal.uea.ac.uk/arm/uk-eu-recruitment-and-outreach,"[['uk', 'eu', 'recruitment', 'and', 'outreach', 'uea']]"
portal.uea.ac.uk/postgraduate-research,"[['postgraduate', 'research', 'uea']]"
portal.uea.ac.uk/estates/working-on-campus/post-portering,"[['post', 'and', 'portering', 'uea']]"
portal.uea.ac.uk/catering,"[['the', 'campus', 'kitchen', 'uea']]"
portal.uea.ac.uk/arm/campus-news,"[['campus', 'news', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/the-basics,"[['the', 'basics', 'uea']]"
portal.uea.ac.uk/home,"[['portal', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/mental-health,"[['mental', 'health', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources,"[['study', 'resources', 'uea']]"
portal.uea.ac.uk/arm/the-uea-plan-2016-20/our-strategy-and-actions,"[['our', 'strategy', 'and', 'actions', 'uea']]"
portal.uea.ac.uk/procurement,"[['procurement', 'uea']]"
portal.uea.ac.uk/catering/news,"[['latest', 'news', 'promotions', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/student-counselling/enquiries-and-appointments,"[['enquiries', 'and', 'appointments', 'uea']]"
portal.uea.ac.uk/staffassociation,"[['staff', 'association', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/the-basics/advisers,"[['advisers', 'uea']]"
portal.uea.ac.uk/vco,"[['vice', 'chancellors', 'office', 'uea']]"
portal.uea.ac.uk/estates,"[['estates', 'uea']]"
portal.uea.ac.uk/estates/living-on-campus/maintenance,"[['maintenance', 'uea']]"
portal.uea.ac.uk/research,"[['research', 'uea']]"
portal.uea.ac.uk/arm/campus-news/staff/-/asset_publisher/laSuIoUOT0Ti/content/building-60,"[['staff', 'news', 'uea']]"
portal.uea.ac.uk/student-support-service/international-students/european,"[['european', 'students', 'uea']]"
portal.uea.ac.uk/staffassociation/about,"[['about', 'uea']]"
portal.uea.ac.uk/arm,"[['admissions', 'recruitment', 'and', 'marketing', 'uea']]"
portal.uea.ac.uk/csed/staff-networks/dignity-and-respect-in-the-workplace,"[['dignity', 'and', 'respect', 'in', 'the', 'workplace', 'uea']]"
portal.uea.ac.uk/postgraduate-research/leverhulme-2017,"[['leverhulme', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/contact-us,"[['contact', 'us', 'uea']]"
