0,"('https://portal.uea.ac.uk/estates/improving-your-campus/current-works/-/asset_publisher/F0wZU8imREei/content/works-affecting-accessible-routes', {0.0006184527680080456},1)"
1,"('https://portal.uea.ac.uk/en/accommodation/faq', {0.00012850759256939628},1)"
2,"('https://portal.uea.ac.uk/procurement/buyers-guide', {1.0609681728714509e-05},0)"
3,"('https://portal.uea.ac.uk/arm/operations-team-intranet', {1.051861149928348e-05},0)"
4,"('https://portal.uea.ac.uk/arm/operations-team-intranet/hobsons-radius-implementation-project', {9.414224632521324e-06},0)"
5,"('https://portal.uea.ac.uk/brand-guidelines/undergraduate-and-postgraduate/how-it-comes-together', {9.22853972852682e-06},0)"
6,"('https://portal.uea.ac.uk/brand-guidelines/building-blocks/the-logo', {8.277522587108533e-06},0)"
7,"('https://portal.uea.ac.uk/rin/open-access-and-research-data/funded-research/multiple-funders', {7.925809670857873e-06},0)"
8,"('https://portal.uea.ac.uk/web/hub/library/access/sconul', {7.84518719376777e-06},1)"
9,"('https://portal.uea.ac.uk/en/library', {7.406204420044477e-06},1)"
